date,hw1_time,hw1_height,hw2_time,hw2_height,time_reference,height_units
2019-01-01,02:20,"3.1 ",14:47,"3.2 ",gmt,m
2019-01-02,03:27,"3.2 ",15:53,"3.3 ",gmt,m
2019-01-03,04:26,"3.4 ",16:50,"3.4 ",gmt,m
2019-01-04,05:18,"3.6 ",17:40,"3.6 ",gmt,m
2019-01-05,06:03,"3.8 ",18:22,"3.7 ",gmt,m
2019-01-06,06:42,"3.9 ",19:01,"3.7 ",gmt,m
2019-01-07,07:17,"3.9 ",19:35,"3.7 ",gmt,m
2019-01-08,07:49,"3.9 ",20:07,"3.6 ",gmt,m
2019-01-09,08:22,"3.9 ",20:41,"3.5 ",gmt,m
2019-01-10,08:56,"3.7 ",21:15,"3.4 ",gmt,m
2019-01-11,09:30,"3.6 ",21:49,"3.2 ",gmt,m
2019-01-12,10:03,"3.4 ",22:25,"3.1 ",gmt,m
2019-01-13,10:39,"3.3 ",23:05,"3.0 ",gmt,m
2019-01-14,11:22,"3.1 ",23:55,"2.9 ",gmt,m
2019-01-15,12:17,"3.0 ",,,gmt,m
2019-01-16,00:56,"2.9 ",13:22,"3.0 ",gmt,m
2019-01-17,02:08,"3.0 ",14:41,"3.1 ",gmt,m
2019-01-18,03:26,"3.2 ",15:59,"3.3 ",gmt,m
2019-01-19,04:37,"3.5 ",17:08,"3.6 ",gmt,m
2019-01-20,05:37,"3.8 ",18:08,"3.8 ",gmt,m
2019-01-21,06:34,"4.1 ",19:04,"4.0 ",gmt,m
2019-01-22,07:25,"4.3 ",19:54,"4.1 ",gmt,m
2019-01-23,08:13,"4.4 ",20:40,"4.1 ",gmt,m
2019-01-24,08:59,"4.4 ",21:25,"4.1 ",gmt,m
2019-01-25,09:41,"4.3 ",22:07,"3.9 ",gmt,m
2019-01-26,10:22,"4.1 ",22:48,"3.6 ",gmt,m
2019-01-27,11:04,"3.8 ",23:32,"3.3 ",gmt,m
2019-01-28,11:50,"3.4 ",,,gmt,m
2019-01-29,00:24,"3.1 ",12:50,"3.1 ",gmt,m
2019-01-30,01:31,"2.9 ",14:05,"2.9 ",gmt,m
2019-01-31,02:46,"2.9 ",15:20,"2.9 ",gmt,m
2019-02-01,03:54,"3.1 ",16:24,"3.1 ",gmt,m
